COMPST_FUND_ID,SHR_CLS_CD,SHR_CLS_DESC,FUND_NM,FUND_LONG_DESC,FUND_ABRV,FUND_STAT_CD,FUND_STAT_DESC,FUND_INCPN_DT,FUND_CLOS_DT,FUND_NBR,FUND_SORT_ORD,ADDR_ID,CUSIP_ID,QUOT_SYM,ST_STR_FUND_NBR,TAX_ID,RSK_LVL,DIVD_FREQ_CD,DIVD_FREQ_DESC,CAP_GAIN_FREQ_CD,CAP_GAIN_FREQ_DESC,REG_ACCT_INIT_INVMT,IRA_ACCT_INIT_INVMT,UGMA_ACCT_INIT_INVMT,PERF_INCPN_DT
16,0,Institutional Class,Real Return Fund,Real Return Fund - Institutional Class,Real Return-I,O,OPEN,12/1/2005,,2025,107,10003,411511520,HARRX   ,GB30,047018428,75,Q,Quarterly,A,Annually,1000,1000,1000,12/1/2005
16,3,Retirement Class,Real Return Fund,Real Return Fund - Retirement Class,Real Return - Ret,O,OPEN,6/1/2018,,2525,108,10003,411512171,HRRNX   ,GB30,047018428,,Q,Quarterly,A,Annually,1000000,1000000,1000000,12/1/2005
16,2,Administrative Class,Real Return Fund,Real Return Fund - Administrative Class,Real Return-A,O,OPEN,12/1/2005,,2225,109,10003,411511512,HRRRX   ,GB30,047018428,75,Q,Quarterly,A,Annually,50000,0,0,12/1/2005
7,0,Institutional Class,Short Duration Fund,Short Duration Fund - Institutional Class,Short Dur.,R,RETIRED,1/1/1992,10/29/2010,2016,110,10003,411511702,HASDX   ,GB06,341694291,80,M,Monthly,A,Annually,1000,1000,1000,1/1/1992
7,2,Administrative Class,Short Duration Fund,Short Duration Fund - Administrative Class,Short Dur-A,R,RETIRED,11/1/2002,10/29/2010,2216,111,10003,411511678,HRSDX   ,GB06,341694291,80,M,Monthly,A,Annually,0,0,0,11/1/2002
6,0,Institutional Class,Money Market Fund,Money Market Fund - Institutional Class,Money Mrkt.,O,OPEN,12/29/1987,,2015,112,10003,411511405,HARXX   ,GB05,341570876,90,M,Monthly,M,Monthly,1000,1000,1000,12/29/1987
6,2,Administrative Class,Money Market Fund,Money Market Fund - Administrative Class,Money Mkt-A,O,OPEN,11/1/2002,,2215,113,10003,411511660,HRMXX   ,GB05,341570876,90,M,Monthly,M,Monthly,50000,0,0,11/1/2002
25,0,Institutional Class,Target Retirement Income Fund,Target Retirement Income Fund - Institutional Class,Target Retirement Income-INST,O,OPEN,1/2/2009,,2600,114,10003,411511371,HARAX   ,GB50,263713174,0,Q,Quarterly,A,Annually,50000,1000,1000,1/2/2009
25,2,Administrative Class,Target Retirement Income Fund,Target Retirement Income Fund - Administrative Class,Target Retirement Income-ADMN,R,RETIRED,1/2/2009,10/27/2017,2700,115,10003,411511363,HARBX   ,GB50,263713174,0,Q,Quarterly,A,Annually,10000,50000,50000,1/2/2009
25,1,Investor Class,Target Retirement Income Fund,Target Retirement Income Fund - Investor Class,Target Retirement Income-INV,R,RETIRED,1/2/2009,10/27/2017,2800,116,10003,411511355,HARCX   ,GB50,263713174,0,Q,Quarterly,A,Annually,10000,2500,2500,1/2/2009
26,0,Institutional Class,Target Retirement 2010 Fund,Target Retirement 2010 Fund - Institutional Class,Target Retirement 2010-INST,M,MERGED,1/2/2009,10/29/2014,2601,117,10003,411511348,HARDX   ,GB51,263713227,5,A,Annually,A,Annually,50000,1000,1000,1/2/2009
26,2,Administrative Class,Target Retirement 2010 Fund,Target Retirement 2010 Fund - Administrative Class,Target Retirement 2010-ADMN,M,MERGED,1/2/2009,10/29/2014,2701,118,10003,411511330,HAIIX   ,GB51,263713227,5,A,Annually,A,Annually,10000,50000,50000,1/2/2009
26,1,Investor Class,Target Retirement 2010 Fund,Target Retirement 2010 Fund - Investor Class,Target Retirement 2010-INV,M,MERGED,1/2/2009,10/29/2014,2801,119,10003,411511322,HARFX   ,GB51,263713227,5,A,Annually,A,Annually,10000,2500,2500,1/2/2009
27,0,Institutional Class,Target Retirement 2015 Fund,Target Retirement 2015 Fund - Institutional Class,Target Retirement 2015-INST,O,OPEN,1/2/2009,,2602,120,10003,411511314,HARGX   ,GB52,263713261,5,A,Annually,A,Annually,50000,1000,1000,1/2/2009
27,2,Administrative Class,Target Retirement 2015 Fund,Target Retirement 2015 Fund - Administrative Class,Target Retirement 2015-ADMN,R,RETIRED,1/2/2009,10/27/2017,2702,121,10003,411511298,HARHX   ,GB52,263713261,5,A,Annually,A,Annually,10000,50000,50000,1/2/2009
27,1,Investor Class,Target Retirement 2015 Fund,Target Retirement 2015 Fund - Investor Class,Target Retirement 2015-INV,R,RETIRED,1/2/2009,10/27/2017,2802,122,10003,411511280,HARIX   ,GB52,263713261,5,A,Annually,A,Annually,10000,2500,2500,1/2/2009
28,0,Institutional Class,Target Retirement 2020 Fund,Target Retirement 2020 Fund - Institutional Class,Target Retirement 2020-INST,O,OPEN,1/2/2009,,2603,123,10003,411511272,HARJX   ,GB53,263713284,5,A,Annually,A,Annually,50000,1000,1000,1/2/2009
28,2,Administrative Class,Target Retirement 2020 Fund,Target Retirement 2020 Fund - Administrative Class,Target Retirement 2020-ADMN,R,RETIRED,1/2/2009,10/27/2017,2703,124,10003,411511264,HARKX   ,GB53,263713284,5,A,Annually,A,Annually,10000,50000,50000,1/2/2009
28,1,Investor Class,Target Retirement 2020 Fund,Target Retirement 2020 Fund - Investor Class,Target Retirement 2020-INV,R,RETIRED,1/2/2009,10/27/2017,2803,125,10003,411511256,HARLX   ,GB53,263713284,5,A,Annually,A,Annually,10000,2500,2500,1/2/2009
29,0,Institutional Class,Target Retirement 2025 Fund,Target Retirement 2025 Fund - Institutional Class,Target Retirement 2025-INST,O,OPEN,1/2/2009,,2604,126,10003,411511249,HARMX   ,GB54,263713315,5,A,Annually,A,Annually,50000,1000,1000,1/2/2009
29,2,Administrative Class,Target Retirement 2025 Fund,Target Retirement 2025 Fund - Administrative Class,Target Retirement 2025-ADMN,R,RETIRED,1/2/2009,10/27/2017,2704,127,10003,411511231,HARNX   ,GB54,263713315,5,A,Annually,A,Annually,10000,50000,50000,1/2/2009
29,1,Investor Class,Target Retirement 2025 Fund,Target Retirement 2025 Fund - Investor Class,Target Retirement 2025-INV,R,RETIRED,1/2/2009,10/27/2017,2804,128,10003,411511223,HAROX   ,GB54,263713315,5,A,Annually,A,Annually,10000,2500,2500,1/2/2009
30,0,Institutional Class,Target Retirement 2030 Fund,Target Retirement 2030 Fund - Institutional Class,Target Retirement 2030-INST,O,OPEN,1/2/2009,,2605,129,10003,411512700,HARPX   ,GB55,263713340,5,A,Annually,A,Annually,50000,1000,1000,1/2/2009
30,2,Administrative Class,Target Retirement 2030 Fund,Target Retirement 2030 Fund - Administrative Class,Target Retirement 2030-ADMN,R,RETIRED,1/2/2009,10/27/2017,2705,130,10003,411512882,HARQX   ,GB55,263713340,5,A,Annually,A,Annually,10000,50000,50000,1/2/2009
30,1,Investor Class,Target Retirement 2030 Fund,Target Retirement 2030 Fund - Investor Class,Target Retirement 2030-INV,R,RETIRED,1/2/2009,10/27/2017,2805,131,10003,411512809,HARTX   ,GB55,263713340,5,A,Annually,A,Annually,10000,2500,2500,1/2/2009
31,0,Institutional Class,Target Retirement 2035 Fund,Target Retirement 2035 Fund - Institutional Class,Target Retirement 2035-INST,O,OPEN,1/2/2009,,2606,132,10003,411512106,HARUX   ,GB56,263713369,5,A,Annually,A,Annually,50000,1000,1000,1/2/2009
31,2,Administrative Class,Target Retirement 2035 Fund,Target Retirement 2035 Fund - Administrative Class,Target Retirement 2035-ADMN,R,RETIRED,1/2/2009,10/27/2017,2706,133,10003,411512304,HARVX   ,GB56,263713369,5,A,Annually,A,Annually,10000,50000,50000,1/2/2009
31,1,Investor Class,Target Retirement 2035 Fund,Target Retirement 2035 Fund - Investor Class,Target Retirement 2035-INV,R,RETIRED,1/2/2009,10/27/2017,2806,134,10003,411512205,HARWX   ,GB56,263713369,5,A,Annually,A,Annually,10000,2500,2500,1/2/2009
32,0,Institutional Class,Target Retirement 2040 Fund,Target Retirement 2040 Fund - Institutional Class,Target Retirement 2040-INST,O,OPEN,1/2/2009,,2607,135,10003,411512403,HARYX   ,GB57,263713394,5,A,Annually,A,Annually,50000,1000,1000,1/2/2009
32,2,Administrative Class,Target Retirement 2040 Fund,Target Retirement 2040 Fund - Administrative Class,Target Retirement 2040-ADMN,R,RETIRED,1/2/2009,10/27/2017,2707,136,10003,411512601,HARZX   ,GB57,263713394,5,A,Annually,A,Annually,10000,50000,50000,1/2/2009
32,1,Investor Class,Target Retirement 2040 Fund,Target Retirement 2040 Fund - Investor Class,Target Retirement 2040-INV,R,RETIRED,1/2/2009,10/27/2017,2807,137,10003,411512502,HABBX   ,GB57,263713394,5,A,Annually,A,Annually,10000,2500,2500,1/2/2009
33,0,Institutional Class,Target Retirement 2045 Fund,Target Retirement 2045 Fund - Institutional Class,Target Retirement 2045-INST,O,OPEN,1/2/2009,,2608,138,10003,411511181,HACCX   ,GB58,263713422,5,A,Annually,A,Annually,50000,1000,1000,1/2/2009
33,2,Administrative Class,Target Retirement 2045 Fund,Target Retirement 2045 Fund - Administrative Class,Target Retirement 2045-ADMN,R,RETIRED,1/2/2009,10/27/2017,2708,139,10003,411511173,HADDX   ,GB58,263713422,5,A,Annually,A,Annually,10000,50000,50000,1/2/2009
33,1,Investor Class,Target Retirement 2045 Fund,Target Retirement 2045 Fund - Investor Class,Target Retirement 2045-INV,R,RETIRED,1/2/2009,10/27/2017,2808,140,10003,411511165,HAEEX   ,GB58,263713422,5,A,Annually,A,Annually,10000,2500,2500,1/2/2009
34,0,Institutional Class,Target Retirement 2050 Fund,Target Retirement 2050 Fund - Institutional Class,Target Retirement 2050-INST,O,OPEN,1/2/2009,,2609,141,10003,411511157,HAFFX   ,GB59,263713447,5,A,Annually,A,Annually,50000,1000,1000,1/2/2009
34,2,Administrative Class,Target Retirement 2050 Fund,Target Retirement 2050 Fund - Administrative Class,Target Retirement 2050-ADMN,R,RETIRED,1/2/2009,10/27/2017,2709,142,10003,411511140,HAGGX   ,GB59,263713447,5,A,Annually,A,Annually,10000,50000,50000,1/2/2009
34,1,Investor Class,Target Retirement 2050 Fund,Target Retirement 2050 Fund - Investor Class,Target Retirement 2050-INV,R,RETIRED,1/2/2009,10/27/2017,2809,143,10003,411511132,HAHHX   ,GB59,263713447,5,A,Annually,A,Annually,10000,2500,2500,1/2/2009
42,0,Institutional Class,Target Retirement 2055 Fund,Target Retirement 2055 Fund - Institutional Class,Target Retirement 2055-INST,O,OPEN,11/1/2014,,2610,144,10003,411512635,HATRX   ,GB61,471187841,5,A,Annually,A,Annually,1000,,,11/1/2014
42,2,Administrative Class,Target Retirement 2055 Fund,Target Retirement 2055 Fund - Administrative Class,Target Retirement 2055-ADMN,R,RETIRED,11/1/2014,10/27/2017,2710,145,10003,411512627,HATAX   ,GB61,471187841,5,A,Annually,A,Annually,50000,,,11/1/2014
42,1,Investor Class,Target Retirement 2055 Fund,Target Retirement 2055 Fund - Investor Class,Target Retirement 2055-INV,R,RETIRED,11/1/2014,10/27/2017,2810,146,10003,411512619,HATTX   ,GB61,471187841,5,A,Annually,A,Annually,2500,,,11/1/2014
