"DealerName","DealerNumber","EstablishedDate","InactiveDate","TaxID","AlphaCode","DealerCRD","MainTelephone","MainFax","StreetAddress","City","State","ZipCode","Platforms","TradingContact","DividendsContact","InvoicesContact","GroupContact","ContractIncludesAllFundsValue","FeePaymentMatrix","AdditionalPaymentInformation","WireInstructions","CheckAddress","OperationsQuestionnaire","RefresherDetails","TradingMethodValue","AccountTypes","SignatureGuaranteeWaiver","c_22c2FormOnFileValue","AdditionalContacts","HistoricalInformation","RedemptionFeeExceptions","Contracts","ClearingCorrespondents","Notes","IDCValue","Site","AdditionalInformation","BillingChannels","LastIntermediaryDueDiligenceReview","ADC22c2Feed","ACHPaymentInstructions","FirmAddress","DealerGroupId","TradesSuperOmnibusValue","TradesOmnibusValue","MarketTimingInformation","DateOfReceiptOfMostRecentControlAuditReport","CreatedById","ModifiedById","Modified","Created","PrimaryDealer","ParticipatesInCBRS","PayNoPayDealerValue","Authorized3rdParty","ContractIncludesRetirementClass","ContractNotes","BillingMethodValue","Id"
"US Bancorp Investments","0280","2000-05-12 00:00:00","2014-12-31 00:00:00","31-0841368","F9","17868","651-466-6398","651-495-8002","60 Livingston Avenue","St. Paul","MN","55107",,"<div class=""ExternalClass51E27BBF319445AFA0F7D15C648A56CA""><div>Keri Persell</div>
<div>Phone&#58; (651) 466-6402</div>
<div>Email&#58; <a href=""mailto&#58;keri.persell@usbank.com"">keri.persell@usbank.com</a>​</div></div>","<div class=""ExternalClass6D23D0535706451195A190BCD996D0A1""><div>Gary Kaplan</div>
<div>Phone&#58; (651) 466-7510</div>
<div>Email&#58; <a href=""mailto&#58;gary.kaplan@usbank.com"">gary.kaplan@usbank.com</a>​</div></div>","<div class=""ExternalClass3A940C3A9E8F4849B9DA03A9283FA064""><div>Ken Nance</div>
<div>Phone&#58; (314) 418-8096</div>
<div>Email&#58; <a href=""mailto&#58;ken.nance@usbank.com"">ken.nance@usbank.com</a>​</div></div>","Daniel Donovan - daniel.donovan@usbank.com","Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=5556952&objAction=browse&viewType=1, Fee Payment Information",,,"US BANCORP INVESTMENTS INC 
60 LIVINGSTON AVE
EP-MN-WN2M
SAINT PAUL, MN 55107-2292","http://harborware/livelink/llisapi.dll?func=ll&objId=5556543&objAction=browse&viewType=1, Contact Info US Bancorp","Week 2, 4 on Friday. Dec ME","NSCC","Broken Out","No","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/US%20Bankcorp%20Investments%20Inc/default.aspx, Site","<div class=""ExternalClassBD379506834F4801B22B5DA2D08B2472""><html>
  <p>​<span id=""ms-rterangepaste-start""></span>For large trade reporting purposese this dealer self-clears but is also a Pershing Correspondent.&#160; <span id=""ms-rterangepaste-end""></span></p><p><span style=""color&#58;black;"">Other Dealer Profiles for US Bancorp Investments include&#58;</span></p>
<div><span style=""color&#58;black;""></span><span style=""color&#58;black;font-family&#58;calibri;font-size&#58;10pt;"">500280 - Custodian ID used for NSCC Trust trading/settlement only.</span></div>
<div><span style=""color&#58;black;font-family&#58;calibri;font-size&#58;10pt;""></span>&#160;</div><div><span id=""ms-rterangepaste-start""></span>Dealer did not respond during the 30-day period to the dealer termination letter sent 12/1/2014. Effective 12/31/2014 the contract is terminated. <span id=""ms-rterangepaste-end""></span></div><span id=""ms-rterangepaste-end""></span></html></div>","<div class=""ExternalClass73AD876EA6CA47E6AAEC9995AFFDC194"">
  <div></div>
</div>",,"False",,"60 LIVINGSTON AVENUE
EP-MN-WN3C
SAINT PAUL, MN  55107",62,"No","No",,,441,90,"2015-05-08 10:12:53","2012-07-31 15:40:05","True",,,,,,,155
"Wedbush Securities","0103","2000-07-12 00:00:00","2014-12-31 00:00:00","95-2495390/95-4323351","WE","877","(213) 688-8000","(213) 688-6641","1000 Wilshire Blvd","Los Angeles","CA","90017",,"<div class=""ExternalClass4A6F0D47ADCD48F194F1C31C55819C20""><div>Josephine Bell</div>
<div>Phone&#58; 213-688-4312</div>
<div>Email&#58; <a href=""mailto&#58;josephine.bell@wedbush.com"">josephine.bell@wedbush.com</a>​</div></div>","<div class=""ExternalClassA048E1B30FF24637B4626179681D35BD""><div>Greg O'Neal</div>
<div>Phone&#58; 213-688-4331</div>
<div>Email&#58; <a href=""mailto&#58;greg.oneal@wedbush.com"">greg.oneal@wedbush.com</a>​</div></div>","<div class=""ExternalClass238E070B144E4E079D3142DA4CB87425""><div>Joe Kwan</div>
<div>Phone&#58; 213-688-6752</div>
<div>Email&#58; <a href=""mailto&#58;joe.kwan@wedbush.com"">joe.kwan@wedbush.com</a>​</div></div>","Alan Lau - alan.lau@wedbush.com","Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=5557013&objAction=browse&viewType=1, Fee Payment Info","No fees are remitted.​",,"WEDBUSH MORGAN SECURITIES INC 
1000 WILSHIRE STE 850
LOS ANGELES, CA 90017-2482","http://harborware/livelink/llisapi.dll?func=ll&objId=5556529&objAction=browse&viewType=1, Wedbush Contact Info","Week 2 and 4 on Friday","NSCC","Broken Out","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Wedbush%20Securities%20Inc/default.aspx, Site","<div class=""ExternalClass6F3012D77C1C463CBBCE290A54C7A145""><html>
  <p>​<span id=""ms-rterangepaste-start""></span>Dealer did not respond during the 30-day period to the dealer termination letter sent 12/1/2014. Effective 12/31/2014 the contract is terminated. <span id=""ms-rterangepaste-end""></span></p>
</html></div>","<div class=""ExternalClass7E820EB71403492D862313169AF759B0""><html>
  <div></div>
</html></div>",,"False",,"1000 WILSHIRE BLVD. SUITE 900
ATTN: BUSINESS CONDUCT
LOS ANGELES, CA  90017-2457",75,"No","No",,,441,142,"2019-04-01 13:04:49","2012-08-01 10:22:04",,"True",,,,,,156
"Peoples Securities Inc","0220","2008-07-29 00:00:00",,"06-1082686","PS","13704","203-338-3009","203-338-3802","850 Main St Floor 2","Bridgeport","CT","06604",,"<div class=""ExternalClassDEEEF5FF03E94C1C8D7775263D4147D1""><div>Cynthia Licata</div>
<div>Phone&#58; 203-338-3009</div>
<div>Email&#58; <a href=""mailto&#58;cynthia.licata@peoples.com"">cynthia.licata@peoples.com</a>​</div></div>","<div class=""ExternalClass12211F74D5474F7D995DCE8B01E6B8C6""><div>Christine Clavarino</div>
<div>Phone&#58; 203-338-3009</div>
<div>Email&#58; <a href=""mailto&#58;christine.clavarino@peoples.com"">christine.clavarino@peoples.com</a>​</div></div>","<div class=""ExternalClassF45F028952BE414BA7C1D412C48ED74C""><p>Christine Clavarino​</p></div>","Heather Hepburn: heather.hepburn@peoples.com","Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=5558136&objAction=browse&viewType=1, Fee Payment Info",,,"BRIDGEPORT
850 MAIN ST 2ND FLOOR
BRIDGEPORT, CT 66044-917 ​   ","http://harborware/livelink/llisapi.dll?func=ll&objId=5557751&objAction=browse&viewType=1, Contact Information","Dividend- Daily, Financial- Daily, Account Position- 1st & 3rd Fridays, Dec Month End","NSCC","Broken Out","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Penson%20Financial%20Services-Peoples%20Securities%20Inc/default.aspx, Site","<div class=""ExternalClassC963807D3DE448FAA6B8411CDCD99B95""><html>
    <p>Penson/Peoples dealer 0220 is different from Penson 0234.​</p>
  </html></div>",,,"False",,"850 MAIN STREET
BRIDGEPORT, CT  06601-0031",75,"No","No",,,441,307,"2017-10-31 13:33:01","2012-08-02 11:39:58",,"True","$",,,,,157
"Options Xpress INC","0338","2006-08-09 00:00:00","2017-10-31 00:00:00","36-4390795","UL","103849","(312) 630-3300","877-229-2876","150 S Wacker Drive","Chicago","IL","60606",,"<div class=""ExternalClassF9687E4E7AF24630AF74BA7498DA73B0""><div>Tawanda Blackmon</div>
<div>Phone&#58; (312) 827-7313</div>
<div>Email&#58; <a href=""mailto&#58;tblackmon@optionsxpress.com"">tblackmon@optionsxpress.com</a>​</div></div>","<div class=""ExternalClassC07799EDB8144F208DC4C1E3F61EA1F8""><div>Scott Tortorella</div>
<div>Phone&#58; (312) 267-6422</div>
<div>Email&#58; <a href=""mailto&#58;stortorella@optionsxpress.com"">stortorella@optionsxpress.com</a>​</div></div>","<div class=""ExternalClass997862B1982840C6BB5676A62D6C3A80""><div>Cindy Canning </div>
<div>Phone&#58; (312) 267-6697</div>
<div>Email&#58; c<a href=""mailto&#58;canning@optionsxpress.com"">canning@optionsxpress.com</a>​</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=5557430&objAction=browse&viewType=1, Fee Payment Info -","No payment remitted.​",,"311 WEST MONROE ST.
SUITE 1000
CHICAGO, IL  60606-4661","http://harborware/livelink/llisapi.dll?func=ll&objId=5557245&objAction=browse&viewType=1, Contact Info","Dividend- Daily, Financial- Daily, Account Position- 2nd & 4th Fridays, Dec Month End","NSCC","Broken Out","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Options%20Xpress%20Inc/default.aspx, Site","<div class=""ExternalClassF126FA5AEBCF494DBBE56AD359778DF7""><html>
    <p>Options Xpress was acquired by Charles Schwab in 2011.​</p>
  </html></div>",,,"False",,"311 WEST MONROE ST.
SUITE 1000
CHICAGO, IL  60606-4661",75,"No","No",,,441,105,"2017-11-14 15:25:31","2012-08-07 11:02:26",,"True","$",,,,,158
"Sungard Investment Products Inc","209042","2001-02-01 00:00:00",,,,,"630-789-4201","630-789-4235","11 Salt Creek Lane","Hinsdale ","IL","60523",,,,,,"No","http://harborware/livelink/llisapi.dll?func=ll&objId=5621972&objAction=browse&viewType=1, Fee Payment Matrix",,,"11 SALT CREEK LANE
HINSDALE IL 60523","http://harborware/livelink/llisapi.dll?func=ll&objId=5622068&objAction=browse&viewType=1, Contact Information",,,"Omnibus","NO","No",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Sungard%20Investment%20Products%20Inc/default.aspx, Site","<div class=""ExternalClass8F75909DC51F46F7BBA30841A57499DA""><html>
    <p>Sungard Investment Products&#160;represents&#160;accounts which trade via file transmission (Expediter).&#160; Transactions&#160;are&#160;listed on RPMS report 6483.​</p>
  </html></div>",,,"False",,,75,"No","No",,,437,307,"2017-10-30 14:07:46","2012-08-10 15:28:42",,,"$",,,,,159
"International Clearing Trust Co","209062","2001-04-27 00:00:00","2008-04-15 00:00:00","43-1971558",,,,,"828 S Charles St","Baltimore","MD","21230-3905",,,,,,"Yes",,,,,,,"NSCC",,,"Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/International%20Clearing%20Trust%20Co/default.aspx, Site",,"<div class=""ExternalClass65B16A8A94034F75894C80F8E45C9FF4""><div></div></div>",,"False",,,75,,,,,1073741823,109,"2013-07-15 14:33:17","2012-08-13 11:52:26",,,,,,,,161
"JJB Hilliard Lyons LLC ","0768","2000-06-02 00:00:00",,"262333067","HL","453","502.588.1250","502.588.4108","500 West Jefferson St","Louisville ","KY","40202",,,,,,"Yes",,"No payments are remitted to this dealer.​",,"JJB HILLIARD, WL LYONS INC 
500 WEST JEFFERSON
LOUISVILLE, KY 40202-2861","http://harborware/livelink/llisapi.dll?func=ll&objId=5556864&objAction=browse&viewType=1, Hilliard Lyons Contact Information","Dividend- Daily, Financial- Daily, Account Position- Fridays","NSCC","Broken Out","Yes","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/JJB%20Hilliard%20Lyons%20LLC/default.aspx, Site","<div class=""ExternalClass08B3FBD56CA346CEA47E5857FF699C8B""><html>
    <p>​Hilliard converted all assets to Charles Schwab in June 2013 but contract is still active.</p><p>As of 2/26, we received notification that clears through Wells Fargo Clearing Services.</p>
  </html></div>",,"2012-10-09 00:00:00","False",,"500 WEST JEFFERSON STREET
SUITE 700
LOUISVILLE, KY  40202-2517",75,"No","No",,,1073741823,307,"2018-02-26 12:39:51","2012-08-13 12:06:21",,"True",,,,,,162
"Keystone Financial Planning","209068","2005-06-06 00:00:00",,,,,,,"7261 Engle Rd","Cleveland ","OH","44130-8400",,,,,,"Yes",,,,,"http://harborware/livelink/llisapi.dll?func=ll&objId=5557840&objAction=browse&viewType=1, Contact Information",,"DST Vision","Omnibus","No","No",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Keystone%20Financial%20Planning/default.aspx, Site","<div class=""ExternalClass5D4D11DF929B48EDB46929D8B5C9BEB2""><html>
    <p>Contract in livelink only covers FanMail access. Keystone accounts are directly held, and&#160;most transactions are processed on DST Vision.​</p>
  </html></div>",,,"False",,,75,"No","Yes",,,1073741823,307,"2017-10-31 14:10:39","2012-08-13 13:55:29",,,,,,,,164
"Lazard Capital Markets LLC","0308","2000-10-24 00:00:00","2014-12-31 00:00:00","20-2343668","UX","134736","212-632-6380","212-830-3227","30 Rockefeller Plaza 19th Floor","New York","NY","10020",,,,,,"No",,"No payment is remitted.​",,"600 5TH AVE
NEW YORK, NY 10020-2327","http://harborware/livelink/llisapi.dll?func=ll&objId=5557148&objAction=browse&viewType=1, Contact Information","Weeks 2 and 4 on Friday","NSCC","Broken Out","No","Yes",,,"<div class=""ExternalClass9856EBBCEF774BC2A14A047A925E76B6""><html>
  <p>​<span id=""ms-rterangepaste-start""></span>For large trade reporting purposese this dealer self-clears but is also a Pershing Correspondent.&#160; <span id=""ms-rterangepaste-end""></span></p>
</html></div>",,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Lazard%20Capital%20Markets%20LLC/default.aspx, Site","<div class=""ExternalClass4CA009D500B14D3AA0299EFB1F29CB72""><html>
  <p>​<span id=""ms-rterangepaste-start""></span>Dealer did not respond during the 30-day period to the dealer termination letter sent 12/1/2014. Effective 12/31/2014 the contract is terminated. <span id=""ms-rterangepaste-end""></span></p>
</html></div>","<div class=""ExternalClassB26E89507A9F45CA9F3A317FCCE807BC"">
  <div></div>
</div>",,"False",,"30 ROCKEFELLER PLAZA
NEW YORK, NY  10020-5900",75,"No","No",,,1073741823,90,"2015-05-08 10:09:46","2012-08-13 15:06:38",,,,,,,,165
"M. Allison Beezer","209012",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/M.%20Allison%20Beezer/default.aspx, Site","<div class=""ExternalClassA6051112258A4C9D8EB3743F2044834B""><html>
  <div class=""ExternalClassC52C71C8A4324F90BD01F6C137AD0E6B"">
    <p>M. Allison Beezer appears as POA on directly held accounts.&#160; This firm has no trading agreements with Harbor.&#160; Dealer number is for DST Vision and FanMail access only.&#160; ​</p>
  </div>
</html></div>",,,"False",,"M. ALLISON BEEZER, CFA 
1127 10TH AVENUE EAST, SUITE 2
SEATTLE, WA 98102-4377 ",75,"No","No",,,1073741823,90,"2015-07-06 16:01:34","2012-08-13 16:02:46",,,,,,,,167
"Mack Investment Securities Inc","209088","2007-01-08 00:00:00",,"36-3423948",,"17643","847-657-6600","847-657-6605","1939 Waukeegan Rd Ste 300","Glenview","IL","60025",,,,,,"Yes",,,,,"http://harborware/livelink/llisapi.dll?func=ll&objId=5557943&objAction=browse&viewType=1, Contact Information","Dividend - Daily, Financial Activity - Daily, Position - 2nd and 4th Friday, December month end (via dealer 0727)","NSCC","Broken out (via Mesirow)","No","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Mack%20Investment%20Securities%20Inc/default.aspx, Site","<div class=""ExternalClass152B9CCD22964FB2958C76F21EE07C65""><html>
  <div class=""ExternalClassF86143511C3841A6A5F37812371446A3"">
    <p>No assets​</p>
  </div>
</html></div>",,,"False",,"1939 WAUKEGAN RD STE 300 
GLENVIEW, IL  60025",75,"No","No",,,1073741823,107,"2016-03-14 12:36:02","2012-08-15 14:27:13",,,,,,,,168
"Morgan Keegan and Co Inc","0780","2000-06-23 00:00:00","2013-02-15 00:00:00","64-0474907","MK","4161","901.524.4100","901.321.3291","Morgan Keegan Tower 50 N Front St","Memphis","TN","38103",,,,,,,,,"<div class=""ExternalClass2F74AA0BAD524527A693EFA0EE30672D""><div dir=""ltr"" style=""text-align&#58;left;""><div><p style=""text-align&#58;justify;margin-right&#58;0px;"">FIRST TENNESSEE BANK</p></div></div>
<div dir=""ltr"" style=""text-align&#58;left;""><div><p style=""margin-right&#58;0px;"">ABA&#58; 084000026</p></div></div>
<div dir=""ltr"" style=""text-align&#58;left;""><div><p style=""margin-right&#58;0px;"">Account&#58; 000117382</p></div></div>
<p>&#160;</p></div>","MORGAN KEEGAN & CO
50 N FRONT ST 18TH FL
MEMPHIS, TN 38103-1152","http://harborware/livelink/llisapi.dll?func=ll&objId=5556636&objAction=browse&viewType=1, Morgan Keegan Contact Information","1st and 3rd Friday","NSCC","Broken Out","Yes","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Moragn%20Keegan%20and%20Co%20Inc/default.aspx, Site",,"<div class=""ExternalClassA6049B073864485184BDD5565F9DBF20""><div></div></div>",,"False",,"FIFTY FRONT STREET
MORGAN KEEGAN TOWER
MEMPHIS, TN  38103-9980",75,,,,,1073741823,90,"2015-05-08 09:58:56","2012-08-15 14:36:15",,,"$",,,,,169
"National Securities Corp","0488","2001-02-09 00:00:00",,"910519466",,"7569","212-417-8000","206-674-5701","One Union Square 600 University St Ste 2900","Seattle","WA ","98101",,,,,,"No",,"No Payments are remitted.​",,"NATIONAL SECURITIES CORP 
1001 4TH AVE STE 2200
SEATTLE, WA 98154-1100","http://harborware/livelink/llisapi.dll?func=ll&objId=5557357&objAction=browse&viewType=1, Contact Information","Dividend- Daily, Financial- Daily, Account Position- 2nd & 4th Fridays, Dec Month End",,"Broken Out - Retail","No","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/National%20Securities%20Corp/default.aspx, Site",,,,"False",,"One Union Square
600 University St Ste 2900
Seattle, WA 98101",75,"No","No",,,1073741823,105,"2016-11-23 08:45:43","2012-08-15 14:45:17",,,,,,,,170
"Nexity Financial Services","209092","2008-03-17 00:00:00","2011-06-06 00:00:00",,,,"704-553-8333","704-553-1645","5821 Fairview Rd Suite 100","Charlotte","NC","28209",,,,,,"Yes",,"Payments are sent via check to Address of Record.​",,"5821 Fairview Rd Suite 100
Charlotte, NC 28209","http://harborware/livelink/llisapi.dll?func=ll&objId=5557938&objAction=browse&viewType=1, Contact Information","N/A","NSCC","Broken Out (trades via 2563)","N/A","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Nexity%20Financial%20Services/default.aspx, Site",,"<div class=""ExternalClassF55E26C41D504BE4AB5D501C024C8948"">
  <div></div>
</div>",,"False",,,75,,,,,1073741823,90,"2015-05-08 10:10:50","2012-08-15 15:15:19",,,,,,,,171
"Northstar Financial Partners","209099","2002-07-16 00:00:00","2013-11-01 00:00:00",,,"107708",,,"165 Kirts Blvd, Suite 600","Troy","MI","48084",,,,,,"Yes",,"No payments are remitted.​",,"NORTHSTAR FINANCIAL PARTNERS 
2150 BUTTERFIELD DR STE 220
TROY, MI 48084-3448",,"2nd and 4th Friday (via 0727)","NSCC","Broken out (trades via Mesirow)","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Northstar%20Financial%20Partners/default.aspx, Site","<div class=""ExternalClass89314B4F563D4507954ADD37F8094410""><html>
  <div class=""ExternalClass3C3D4BB98EE3443792F5B8AEF671727F"">
    <p>No assets​</p>
  </div>
</html></div>",,,"False",,"165 KIRTS BLVD
SUITE 600
TROY, MI  48084",75,"No","No",,,1073741823,105,"2015-08-24 15:34:39","2012-08-15 15:25:43",,,,,,,,172
"Wells Fargo Bank NA","0929","2000-08-31 00:00:00",,"94-1347393 / 23-6209274","EZ",,"704-590-8481","704-590-8969","1525 West WT Harris Blvd","Charlotte","NC","28262",,,,,,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=5551590&objAction=browse&viewType=1, Payment Information","Wells Fargo Bank uses 0929 as the ""pay"" dealer of record for all accounts clearing through trust IDs 0929 and 2027.",,"1525 WEST WT HARRIS BLVD
CHARLOTTE, NC 28262-8522 ​   ","http://harborware/livelink/llisapi.dll?func=ll&objId=5551701&objAction=browse&viewType=1, Contact Information","Dividend- Daily, Financial- Daily, Account Position- Daily","NSCC","Broken out and omnibus","Yes","Yes",,,,,,,"Yes","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Wells%20Fargo%20Bank%20NA/default.aspx, Site","<div class=""ExternalClass3C88E118F127477F81CBB827BE40F189""><html>
  <div class=""ExternalClass597D8AF40E804946B9942A5D48080C9E"">
    <p>Fee Schedule for 929 is driven by the Wachovia Service Agreement - most recently amended in 2008​</p><p><span id=""ms-rterangepaste-start""></span>***Fee payments -&#160;Dealer 2027 is the &quot;no pay&quot;&#160;dealer and dealer 0929&#160;is the &quot;pay&quot; dealer.***<span id=""ms-rterangepaste-end""></span></p><p>&#160;</p>
  </div>
</html></div>",,"2013-03-28 00:00:00","False",,,9,"No","Yes",,,454,142,"2017-03-07 15:17:20","2012-08-16 15:23:30",,,"$",,"True",,,174
"WesBanco Securities Inc","209020","2008-07-08 00:00:00",,"31-1484891",,"43276","304-231-1201","304-231-1210","1 Bank Plaza","Wheeling ","WV","26003",,,,,,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=5556975&objAction=browse&viewType=1, Fee Payment Matrix",,"<div class=""ExternalClass01B80CA2FAB94069829388D216A1E089""><html>
  <div class=""ExternalClass269E13C656A9414F806D3FE2BA7DD7EE"">
    <p>WesBanco Bank</p>
<p>ABA# 043400036</p>
<p>DDA# 012333271</p>
<p>&#160;</p></div>
</html></div>","135 W MAIN ST
SAINT CLAIRSVILLE, OH 43950-1224 ​  ","http://harborware/livelink/llisapi.dll?func=ll&objId=5556970&objAction=browse&viewType=1, Contact Information","Dividend - Daily, Financial Activity - Daily, Position - 2nd and 4th Friday (via dealer 0727)",,,"NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Wesbanco%20Securities%20Inc/default.aspx, Site","<div class=""ExternalClass22D1E22D980144A9AEF434DF07181E4A""><html>
  <div class=""ExternalClass456E720F115147D1A84A3C921E1AA41B"">
    <p>No Assets​</p>
  </div>
</html></div>",,,"False",,"135 WEST MAIN ST
ST CLAIRSVILLE, OH  43950",93,"No","No",,,440,107,"2016-03-14 12:31:13","2012-08-16 15:35:47",,,"$",,,,,175
"Stifel Nicolaus","0793","2000-08-04 00:00:00",,"43-0538770","SU","793","312.342.2000","314.342.2728","501 N Boardway","St. Louis","MO","63102",,,,,,"Yes",,"Wiring instructions:

Bank Name Bank of America, New York
Bank Address 
Bank ABA Number 026009593
Bank SWIFT (BIC) number BOFAUS3N (foreign wires only)
Bank Account Number 4451211211
Credit Stifel Nicolaus & Company
FFC - Name of Account Attn Commissions
Client Account Number 30903-100
",,"501 NORTH BROADWAY
ST LOUIS, MO 63102-2188","http://harborware/livelink/llisapi.dll?func=ll&objId=5557311&objAction=browse&viewType=1, Stifel Nicolaus Ops Questionnaire","Dividend- Daily, Financial- Daily, Account Position- Daily","NSCC","Broken Out","Yes","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Stifel%20Nicolaus%20and%20Company%20Inc/default.aspx, Site","<div class=""ExternalClass8F9421C22D294A0283620D6D0DB4A0A8""><html>
  <p>​<span id=""ms-rterangepaste-start""></span>For large trade reporting purposes this dealer self-clears but is also a Pershing Correspondent.&#160; <span id=""ms-rterangepaste-end""></span></p>
</html></div>",,,"False",,"501 NORTH BROADWAY
ST. LOUIS, MO  63102",75,"No","No",,,440,142,"2018-03-29 11:38:04","2012-08-16 15:45:17",,"True","$",,"True",,,176
"UMB Bank NA","2450","2000-08-21 00:00:00",,"43-6295833","UM","25938","816-860-7308","816-860-3957","928 Grand Blvd Attn: Mutual Funds MS 1010405","Kansas City","MO","64106",,,,,,"Yes",,"No payments are remitted.​","<div class=""ExternalClassCC6EDE62E7754C7FB59727969ABF8B26""><html>
  <p>​UMB Bank</p>
  <p>ABA 101000695</p>
  <p>A/C 9800006823 </p>
  <p>Attn Mutual Funds Dept.</p>
</html></div>",,"http://harborware/livelink/llisapi.dll?func=ll&objId=5552311&objAction=browse&viewType=1, Contact Information",,"NSCC","Broken Out","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/UMB%20Bank%20NA/default.aspx, Site","<div class=""ExternalClassB4C044E9A53341CF875C1D8EBEEA6988""><html>
  <p>​<span style=""color&#58;black;"">Other Dealer Profiles for UMB Bank include&#58;</span></p>
<div><span style=""color&#58;black;""></span><span style=""font-family&#58;calibri;color&#58;black;font-size&#58;10pt;"">502450 - Custodian ID used for NSCC Trust trading/settlement only.</span></div>
<div><span style=""font-family&#58;calibri;color&#58;black;font-size&#58;10pt;""></span>&#160;</div><span id=""ms-rterangepaste-end""></span></html></div>",,,"False",,"803 W. MICHIGAN STREET
SUITE A
MILWAUKEE, WI  53233",61,"No","No",,,454,307,"2018-02-08 15:59:04","2012-08-16 16:11:00","True","True",,,"False",,,177
"INTL FCStone Financial Inc.","0750","2001-12-26 00:00:00",,"59-3514167","SL","791","205-414-7253","205-414-7324","813 Shades Creek Parkway Ste 100B","Birmingham ","AL","35209",,,,,,"Yes",,"No payments are remitted to this dealer.​",,"INTL FCStone Financial Inc.
813 SHADES CREEK PKWY STE 100B
BIRMINGHAM, AL 35209-4459","http://harborware/livelink/llisapi.dll?func=ll&objId=5557126&objAction=browse&viewType=1, Contact Information","Dividend- Daily, Financial- Daily, Account Position- Daily","NSCC","Broken Out","Yes","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/Sterne%20Agee%20and%20Leach%20Inc/default.aspx, Site","<div class=""ExternalClassB43C1B6B8E2F4CE28C34D47D288D40DB""><html>
  <div class=""ExternalClass77CB76EBA9434C82AF7B6325D9ED7B19"">
    <p><span id=""ms-rterangepaste-start""></span>For large trade reporting purposese this dealer self-clears but is also a Pershing Correspondent.&#160; <span id=""ms-rterangepaste-end""></span></p><p>This firm's assets converted to Schwab in August 2013.&#160; Sterne Agee &amp; Leach would like to maintain their agreements in case they trade any assets directly with Harbor in the future.​</p><p><span id=""ms-rterangepaste-start""></span>Also receiving refresher files for the following Alpha Dealers&#58; 209116<span id=""ms-rterangepaste-end""></span></p><p>Sterne, Agee &amp; Leach (SALI) was acquired by INTL FCStone Inc. on 7/1/16. Effective 7/1/17, SALI will merge with and into INTL FCStone Financial Inc. (IFCF).</p>
  </div>
</html></div>",,,"False",,"800 SHADES CREEK PARKWAY
SUITE 700
BIRMINGHAM, AL  35209",75,"No","No",,,440,105,"2017-08-25 12:37:59","2012-08-16 16:16:57",,"True",,,,,,178
